ticker,name,close,IOPV实时估值,基金折价率,change,pct_change,volume,amount,开盘价,最高价,最低价,昨收,振幅,turnover,volume_ratio,委比,外盘,内盘,main_net_inflow,main_net_pct,super_large_net_inflow,super_large_net_pct,large_net_inflow,large_net_pct,medium_net_inflow,medium_net_pct,small_net_inflow,small_net_pct,现手,买一,卖一,shares,float_mcap,total_mcap,data_date,更新时间,industry
159516,半导体设备ETF国泰,0.747,0.7456,-0.19,0.02,2.75,106108671.0,8064742301.858,0.746,0.788,0.737,0.727,7.02,18.62,1.16,4.63,46046039.0,60062632.0,272576928.0,3.38,736702896.0,9.13,-464125968.0,-5.76,-271926080.0,-3.37,-650752.0,-0.01,-420069.0,0.747,0.748,56975360000.0,42560593920,42560593920,2026-07-22,2026-07-22 15:34:03+08:00,半导体
560780,半导体设备ETF广发,1.103,1.1034,0.04,0.04,3.76,14955084.0,1676296268.0,1.104,1.16,1.086,1.063,6.96,14.32,1.16,1.29,7377306.0,7577779.0,75179952.0,4.48,103146608.0,6.15,-27966656.0,-1.67,-72569126.0,-4.33,-2610843.0,-0.16,-69818.0,1.102,1.103,10444487936.0,11520270193,11520270193,2026-07-22,2026-07-22 16:12:01+08:00,半导体
562590,半导体设备ETF华夏,1.059,1.0589,-0.01,0.04,3.93,11522326.0,1241678978.0,1.056,1.113,1.04,1.019,7.16,14.48,1.31,4.24,5488581.0,6033745.0,44791008.0,3.61,205631520.0,16.56,-160840512.0,-12.95,-55884391.0,-4.5,11093377.0,0.89,-49752.0,1.059,1.06,7957989120.0,8427510478,8427510478,2026-07-22,2026-07-22 16:11:56+08:00,半导体
159801,芯片ETF广发,1.297,1.2956,-0.11,0.001,0.08,3617928.0,479123254.965,1.296,1.36,1.281,1.296,6.1,8.11,1.02,49.19,1634812.0,1983115.0,7919329.0,1.65,56139828.0,11.72,-48220499.0,-10.06,-17566457.0,-3.67,9647128.0,2.01,-19672.0,1.297,1.298,4463120128.0,5788666806,5788666806,2026-07-22,2026-07-22 15:34:15+08:00,半导体
159558,半导体设备ETF易方达,1.174,1.1718,-0.19,0.045,3.99,29983637.0,3574815099.83,1.176,1.235,1.156,1.129,7.0,18.03,1.28,44.53,15017128.0,14966510.0,4180576.0,0.12,187805184.0,5.25,-183624608.0,-5.14,-59465808.0,-1.66,55285200.0,1.55,-162096.0,1.174,1.175,16625563904.0,19518412023,19518412023,2026-07-22,2026-07-22 15:34:33+08:00,半导体
562820,集成电路ETF嘉实,3.264,3.2678,0.12,-0.006,-0.18,189186.0,62647567.0,3.235,3.42,3.216,3.27,6.24,15.49,1.02,9.78,90249.0,98937.0,1582040.0,2.53,1927576.0,3.08,-345536.0,-0.55,201630.0,0.32,-1783671.0,-2.85,-516.0,3.264,3.265,122136000.0,398651904,398651904,2026-07-22,2026-07-22 16:11:36+08:00,半导体
159995,芯片ETF华夏,1.312,1.3072,-0.37,-0.005,-0.38,11943892.0,1597771835.51,1.3,1.375,1.295,1.317,6.07,5.15,0.95,-10.82,5480320.0,6463573.0,1565696.0,0.1,84831296.0,5.31,-83265600.0,-5.21,-27318720.0,-1.71,25753036.0,1.61,-58118.0,1.312,1.313,23181126144.0,30413637501,30413637501,2026-07-22,2026-07-22 15:34:21+08:00,半导体
159310,芯片ETF天弘,3.197,3.1946,-0.08,-0.1,-3.03,218948.0,71632744.0,3.2,3.361,3.16,3.297,6.1,4.45,1.44,-88.37,111245.0,107703.0,63556.0,0.09,1074069.0,1.5,-1010513.0,-1.41,-4371821.0,-6.1,4308265.0,6.01,825.0,3.196,3.197,491981088.0,1572863538,1572863538,2026-07-22,2026-07-22 15:34:18+08:00,半导体
589290,科创芯片设计ETF汇添富,0.853,0.854,0.12,-0.012,-1.39,160340.0,13996572.0,0.88,0.896,0.844,0.865,6.01,11.47,1.07,4.99,78384.0,81956.0,-464426.0,-3.32,1488861.0,10.64,-1953287.0,-13.96,29414.0,0.21,435012.0,3.11,-210.0,0.852,0.853,139848900.0,119291112,119291112,2026-07-22,2026-07-22 16:11:44+08:00,半导体
589260,科创芯片设计ETF国泰,1.336,1.3339,-0.16,-0.016,-1.18,110267.0,14958713.0,1.344,1.405,1.322,1.352,6.14,19.99,1.05,0.72,57736.0,52531.0,-619591.0,-4.14,570385.0,3.81,-1189976.0,-7.96,346122.0,2.31,273470.0,1.83,-111.0,1.334,1.336,55156000.0,73688416,73688416,2026-07-22,2026-07-22 16:11:41+08:00,半导体
