ticker,name,close,pct_change,pct_60d,pct_ytd,volume_ratio,turnover,amount,pe,pb,total_mcap,float_mcap,main_net_inflow,main_net_pct,super_large_net_inflow,large_net_inflow,strategy
601138,工业富联,63.0,3.77,-3.09,2.07,2.62,0.53,6688437641,29.5,7.09,1250177813892,1250177813892,1008215392,15.01,590661360,417554032,fund_flow
000636,风华高科,44.31,7.29,95.8,173.86,2.45,6.7,3463675480,144.73,4.15,51267255379,51267250948,586798096,16.94,813550032,-226751936,fund_flow
601179,中国西电,13.65,9.99,-20.45,50.83,3.85,3.26,2198261023,50.47,3.03,69968294105,69968294105,496242215,22.54,600873495,-104631280,fund_flow
601899,紫金矿业,33.29,3.39,-1.89,-2.35,2.42,1.08,7298186902,11.02,4.67,885204889766,685833693631,491767680,6.68,80603072,411164608,fund_flow
603993,洛阳钼业,20.16,2.8,5.66,2.28,2.1,0.97,3384339275,13.9,5.21,431309293148,352010578268,418887728,12.28,320127744,98759984,fund_flow
300274,阳光电源,114.52,4.16,-13.96,-32.77,2.13,2.49,4478930877,25.91,5.03,237424172276,181803726486,399922400,8.9,265188864,134733536,fund_flow
300408,三环集团,106.2,3.13,42.47,134.44,2.22,2.63,5369603184,66.73,9.8,211110909460,198573420245,309313504,5.75,197595472,111718032,fund_flow
603618,杭电股份,28.22,10.02,-7.66,250.12,1.93,4.63,870263425,60.34,7.21,19510619884,19510619884,255677250,29.33,260660446,-4983196,fund_flow
600183,生益科技,127.66,1.32,77.73,80.8,1.57,1.46,4588033824,66.94,19.4,310086608512,307883859085,243456912,5.29,80265200,163191712,fund_flow
002475,立讯精密,60.18,1.72,-8.62,6.68,1.24,0.63,2758933971,31.76,5.32,464907215898,440823023189,217205392,7.87,139430800,77774592,fund_flow
600522,中天科技,33.1,1.85,0.46,85.33,1.46,3.48,3969119857,30.73,3.04,112968633481,112968633481,210198944,5.27,130763344,79435600,fund_flow
600089,特变电工,21.01,6.22,-21.02,-3.89,4.4,2.8,2917181613,14.63,1.51,106159171917,106159171917,201667936,6.87,168212768,33455168,fund_flow
000792,盐湖股份,27.2,3.5,-27.31,-3.41,2.1,0.99,1402128444,11.89,3.22,143930773115,143929490091,179222420,12.78,123023524,56198896,fund_flow
002379,宏桥控股,20.37,9.58,-24.94,-13.94,2.82,5.6,1254101860,9.82,5.42,265443877775,23147933349,178643365,14.21,93596758,85046607,fund_flow
601678,滨化股份,6.22,10.09,21.96,48.1,2.96,6.24,784541951,25.58,1.29,14983745357,12709551637,176423517,22.47,139353024,37070493,fund_flow
600219,南山铝业,4.72,8.51,-17.63,-9.92,4.44,2.34,1225660691,12.31,1.1,54203071358,54203071358,170470989,13.82,141103453,29367536,fund_flow
002141,贤丰控股,5.56,7.54,52.75,49.06,2.82,18.28,1035820894,144.38,7.12,5743123037,5743123037,163049400,15.72,200030280,-36980880,fund_flow
600172,黄河旋风,11.98,5.83,44.34,109.81,3.16,11.0,1688975218,-44.75,37.27,17277370022,15289543885,160802236,9.49,163220492,-2418256,fund_flow
600666,奥瑞德,3.5,10.06,-41.57,4.17,5.58,7.07,605434332,-248.34,8.78,9629610879,8757432131,157543327,25.97,143473969,14069358,fund_flow
000807,云铝股份,26.89,5.12,-20.42,-17.16,2.35,1.99,1817727207,6.48,2.72,93253374620,93252398406,155565456,8.55,98492720,57072736,fund_flow
